Nodes,id,Label,log,lat
Ageb 296,296,Ageb 296,-110.9906,29.1297
Ageb 297,297,Ageb 297,-110.991,29.1253
Ageb 298,298,Ageb 298,-111.0145,29.1407
Ageb 299,299,Ageb 299,-110.9405,29.082
Ageb 300,300,Ageb 300,-110.9431,29.0879
Ageb 301,301,Ageb 301,-110.9821,29.1387
Ageb 302,302,Ageb 302,-110.9612,29.0875
Ageb 303,303,Ageb 303,-110.9749,29.0591
Ageb 304,304,Ageb 304,-110.9749,29.056
Ageb 305,305,Ageb 305,-110.9855,29.0999
Ageb 306,306,Ageb 306,-110.988,29.0957
Ageb 307,307,Ageb 307,-110.9906,29.1072
Ageb 308,308,Ageb 308,-110.981,29.1126
Ageb 309,309,Ageb 309,-110.9817,29.1037
Ageb 310,310,Ageb 310,-110.9823,29.1088
Ageb 311,311,Ageb 311,-111.0289,29.1035
Ageb 312,312,Ageb 312,-111.0021,29.1341
Ageb 313,313,Ageb 313,-110.992,29.0324
Ageb 314,314,Ageb 314,-110.9965,29.1379
Ageb 315,315,Ageb 315,-111.0027,29.1399
Ageb 316,316,Ageb 316,-110.9946,29.0485
Ageb 317,317,Ageb 317,-110.9777,29.0724
Ageb 318,318,Ageb 318,-110.9828,29.0762
Ageb 319,319,Ageb 319,-110.9961,29.1227
Ageb 320,320,Ageb 320,-111.0016,29.1253
Ageb 321,321,Ageb 321,-111.0066,29.1145
Ageb 322,322,Ageb 322,-110.999,29.1142
Ageb 323,323,Ageb 323,-111.0323,29.1356
Ageb 324,324,Ageb 324,-110.931,29.0026
Ageb 325,325,Ageb 325,-110.9354,29.0055
Ageb 326,326,Ageb 326,-111.0028,29.0754
Ageb 327,327,Ageb 327,-110.9902,29.0342
Ageb 328,328,Ageb 328,-110.9897,29.0749
Ageb 329,329,Ageb 329,-111.0338,29.1208
Ageb 330,330,Ageb 330,-111.0089,29.1422
Ageb 331,331,Ageb 331,-110.9707,29.1474
Ageb 332,332,Ageb 332,-110.9166,29.0068
Ageb 333,333,Ageb 333,-110.9966,29.0448
Ageb 334,334,Ageb 334,-110.9819,29.04
Ageb 335,335,Ageb 335,-110.9878,29.0434
Ageb 336,336,Ageb 336,-110.9988,29.1466
Ageb 337,337,Ageb 337,-110.9872,29.0374
Ageb 338,338,Ageb 338,-110.9847,29.0332
Ageb 339,339,Ageb 339,-110.9808,29.0335
Ageb 340,340,Ageb 340,-110.9948,29.0403
Ageb 341,341,Ageb 341,-110.9923,29.1496
Ageb 342,342,Ageb 342,-110.9848,29.1474
Ageb 343,343,Ageb 343,-110.9748,29.1517
Ageb 344,344,Ageb 344,-110.9786,29.1479
Ageb 345,345,Ageb 345,-110.9898,29.1525
Ageb 346,346,Ageb 346,-111.0232,29.1436
Ageb 347,347,Ageb 347,-110.9932,29.1466
Ageb 348,348,Ageb 348,-111.0148,29.1486
Ageb 349,349,Ageb 349,-111.0095,29.1455
Ageb 350,350,Ageb 350,-111.0181,29.1447
Ageb 351,351,Ageb 351,-111.026,29.125
Ageb 352,352,Ageb 352,-110.9205,29.1109
Ageb 353,353,Ageb 353,-110.9758,29.0155
Ageb 354,354,Ageb 354,-110.9636,29.0282
Ageb 355,355,Ageb 355,-110.9684,29.0342
Ageb 356,356,Ageb 356,-110.9289,29.0042
Ageb 357,357,Ageb 357,-110.9301,29.0011
Ageb 358,358,Ageb 358,-110.919,29.0036
Ageb 359,359,Ageb 359,-110.9438,29.038
Ageb 360,360,Ageb 360,-110.9518,29.0399
Ageb 361,361,Ageb 361,-110.9467,29.0463
Ageb 362,362,Ageb 362,-111.0072,29.1597
Ageb 363,363,Ageb 363,-111.0032,29.0619
Ageb 364,364,Ageb 364,-111.0201,29.1533
Ageb 365,365,Ageb 365,-110.9956,29.0637
Ageb 366,366,Ageb 366,-110.9935,29.0663
Ageb 367,367,Ageb 367,-111.0288,29.1485
Ageb 368,368,Ageb 368,-111.0054,29.1619
Ageb 369,369,Ageb 369,-111.0377,29.1197
Ageb 370,370,Ageb 370,-110.9552,29.1368
Ageb 371,371,Ageb 371,-110.9392,29.0495
Ageb 372,372,Ageb 372,-110.9463,29.0172
Ageb 373,373,Ageb 373,-110.9899,29.0295
Ageb 374,374,Ageb 374,-111.0113,29.0498
Ageb 375,375,Ageb 375,-111.0065,29.034
Ageb 376,376,Ageb 376,-111.003,29.0396
Ageb 377,377,Ageb 377,-110.9929,29.0303
Ageb 378,378,Ageb 378,-111.0302,29.1466
Ageb 379,379,Ageb 379,-111.0165,29.1544
Ageb 380,380,Ageb 380,-111.0119,29.1578
Ageb 381,381,Ageb 381,-111.0121,29.0626
Ageb 382,382,Ageb 382,-111.0303,29.1094
Ageb 383,383,Ageb 383,-111.0308,29.1254
Ageb 384,384,Ageb 384,-110.9992,29.1513
Ageb 385,385,Ageb 385,-111.0123,29.1627
Ageb 386,386,Ageb 386,-110.9572,29.1376
Ageb 387,387,Ageb 387,-111.045,29.1029
Ageb 388,388,Ageb 388,-111.0408,29.1131
Ageb 389,389,Ageb 389,-111.0217,29.1511
Ageb 390,390,Ageb 390,-110.9962,29.0487
Ageb 391,391,Ageb 391,-110.9893,29.0597
Ageb 392,392,Ageb 392,-111.0247,29.1668
Ageb 393,393,Ageb 393,-110.969,29.1512
Ageb 394,394,Ageb 394,-110.9151,29.111
Ageb 395,395,Ageb 395,-110.9885,29.0267
Ageb 396,396,Ageb 396,-110.9923,29.0274
Ageb 397,397,Ageb 397,-110.9652,29.1129
Ageb 398,398,Ageb 398,-110.9854,29.1053
Ageb 399,399,Ageb 399,-110.9678,29.1081
Ageb 400,400,Ageb 400,-110.9566,29.1112
Ageb 401,401,Ageb 401,-110.9494,29.1112
Ageb 402,402,Ageb 402,-110.9652,29.1035
Ageb 403,403,Ageb 403,-110.9568,29.0938
Ageb 404,404,Ageb 404,-110.9497,29.1004
Ageb 405,405,Ageb 405,-110.9714,29.0931
Ageb 406,406,Ageb 406,-110.9629,29.0951
Ageb 407,407,Ageb 407,-110.967,29.0829
Ageb 408,408,Ageb 408,-111.0152,29.1112
Ageb 409,409,Ageb 409,-110.9527,29.0882
Ageb 410,410,Ageb 410,-110.9512,29.0849
Ageb 411,411,Ageb 411,-110.9538,29.0553
Ageb 412,412,Ageb 412,-111.018,29.1249
Ageb 413,413,Ageb 413,-111.0078,29.1287
Ageb 414,414,Ageb 414,-110.9951,29.1305
Ageb 415,415,Ageb 415,-110.9831,29.1259
Ageb 416,416,Ageb 416,-110.9759,29.1265
Ageb 417,417,Ageb 417,-110.9693,29.128
Ageb 418,418,Ageb 418,-111.0139,29.1198
Ageb 419,419,Ageb 419,-111.0058,29.1191
Ageb 420,420,Ageb 420,-110.9553,29.1196
Ageb 421,421,Ageb 421,-110.9821,29.0676
Ageb 422,422,Ageb 422,-110.9377,29.0454
Ageb 423,423,Ageb 423,-110.9364,29.0548
Ageb 424,424,Ageb 424,-110.9211,29.0219
Ageb 425,425,Ageb 425,-110.9844,29.1175
Ageb 426,426,Ageb 426,-110.9688,29.0716
Ageb 427,427,Ageb 427,-110.9915,29.0826
Ageb 428,428,Ageb 428,-110.9785,29.1099
Ageb 429,429,Ageb 429,-110.9599,29.116
Ageb 430,430,Ageb 430,-110.9581,29.028
Ageb 431,431,Ageb 431,-110.9966,29.1025
Ageb 432,432,Ageb 432,-110.9821,29.0535
Ageb 433,433,Ageb 433,-110.9869,29.1372
Ageb 434,434,Ageb 434,-111.0143,29.1399
Ageb 435,435,Ageb 435,-111.0043,29.0244
Ageb 436,436,Ageb 436,-111.0019,29.0269
Ageb 437,437,Ageb 437,-110.9761,29.0094
Ageb 438,438,Ageb 438,-110.9233,29.0033
Ageb 439,439,Ageb 439,-111.0093,29.1389
Ageb 440,440,Ageb 440,-111.0164,29.1396
Ageb 441,441,Ageb 441,-111.0335,29.1229
Ageb 442,442,Ageb 442,-111.0089,29.1346
Ageb 443,443,Ageb 443,-110.9432,29.1278
Ageb 444,444,Ageb 444,-111.016,29.1512
Ageb 445,445,Ageb 445,-110.9825,29.1634
Ageb 446,446,Ageb 446,-111.0045,29.155
Ageb 447,447,Ageb 447,-111.0012,29.1685
Ageb 448,448,Ageb 448,-111.0512,29.1237
Ageb 449,449,Ageb 449,-111.0427,29.0788
Ageb 450,450,Ageb 450,-110.922,29.0032
Ageb 451,451,Ageb 451,-110.938,28.9977
Ageb 452,452,Ageb 452,-110.9764,29.0976
Ageb 453,453,Ageb 453,-110.9717,29.0988
Ageb 454,454,Ageb 454,-110.9646,29.0992
Ageb 455,455,Ageb 455,-110.9493,29.0952
Ageb 456,456,Ageb 456,-110.9359,29.0922
Ageb 457,457,Ageb 457,-110.9727,29.0888
Ageb 458,458,Ageb 458,-110.9561,29.0443
Ageb 459,459,Ageb 459,-111.0365,29.0968
Ageb 460,460,Ageb 460,-110.9172,29.0003
Ageb 461,461,Ageb 461,-111.0074,29.0267
Ageb 462,462,Ageb 462,-111.0009,29.0475
Ageb 463,463,Ageb 463,-110.9709,29.1332
Ageb 464,464,Ageb 464,-110.9992,29.1549
Ageb 465,465,Ageb 465,-110.9777,29.1379
Ageb 466,466,Ageb 466,-111.0056,29.0573
Ageb 467,467,Ageb 467,-110.9191,28.9973
Ageb 468,468,Ageb 468,-110.9645,29.1465
Ageb 469,469,Ageb 469,-110.9718,29.1544
Ageb 470,470,Ageb 470,-110.9582,29.1469
Ageb 471,471,Ageb 471,-110.9879,29.155
Ageb 472,472,Ageb 472,-110.9814,29.1522
Ageb 473,473,Ageb 473,-111.0055,29.1558
Ageb 474,474,Ageb 474,-110.9871,29.026
Ageb 475,475,Ageb 475,-110.9962,29.0372
Ageb 476,476,Ageb 476,-110.9927,29.0346
Ageb 477,477,Ageb 477,-111.0183,29.1759
Ageb 478,478,Ageb 478,-111.0078,29.0497
Ageb 479,479,Ageb 479,-110.9472,29.0226
Ageb 480,480,Ageb 480,-111.071,29.1058
Ageb 481,481,Ageb 481,-111.0154,29.1383
Ageb 482,482,Ageb 482,-110.9197,29.0859
Ageb 483,483,Ageb 483,-110.9695,29.0005
Ageb 484,484,Ageb 484,-110.9736,29.0122
Ageb 485,485,Ageb 485,-110.986,29.0284
Ageb 486,486,Ageb 486,-111.0168,29.1704
Ageb 487,487,Ageb 487,-111.0164,29.1354
Ageb 488,488,Ageb 488,-111.0144,29.1725
Ageb 489,489,Ageb 489,-110.9459,28.9919
Ageb 490,490,Ageb 490,-111.0279,29.0514
Ageb 491,491,Ageb 491,-111.0241,29.1509
Ageb 492,492,Ageb 492,-111.0103,29.1747
Ageb 493,493,Ageb 493,-111.0235,29.1154
Ageb 494,494,Ageb 494,-110.9458,29.0091
Ageb 495,495,Ageb 495,-111.0155,29.0977
Ageb 496,496,Ageb 496,-110.9987,29.0979
Ageb 497,497,Ageb 497,-110.9694,29.059
Ageb 498,498,Ageb 498,-110.9256,29.0775
Ageb 499,499,Ageb 499,-110.9844,29.1332
Ageb 500,500,Ageb 500,-110.956,29.0818
Ageb 501,501,Ageb 501,-111.0083,29.0849
Ageb 502,502,Ageb 502,-111.0327,29.1461
Ageb 503,503,Ageb 503,-110.9237,29.1108
Ageb 504,504,Ageb 504,-110.9774,29.1578
Ageb 505,505,Ageb 505,-110.9806,29.1585
Ageb 506,506,Ageb 506,-110.9969,29.1784
Ageb 507,507,Ageb 507,-110.8838,29.17
Ageb 508,508,Ageb 508,-110.8893,29.1716
Ageb 509,509,Ageb 509,-110.8831,29.1908
Ageb 510,510,Ageb 510,-110.8852,29.1887
Ageb 511,511,Ageb 511,-110.8894,29.1666
Ageb 512,512,Ageb 512,-110.8875,29.1922
Ageb 513,513,Ageb 513,-110.8854,29.1924
Ageb 514,514,Ageb 514,-111.0034,29.0888
Ageb 515,515,Ageb 515,-110.983,29.167
Ageb 516,516,Ageb 516,-110.9554,29.1568
Ageb 517,517,Ageb 517,-111.0598,29.0823
Ageb 518,518,Ageb 518,-110.9849,29.1587
Ageb 519,519,Ageb 519,-110.9524,29.1429
Ageb 520,520,Ageb 520,-110.9503,29.1327
Ageb 521,521,Ageb 521,-111.0294,29.1532
Ageb 522,522,Ageb 522,-110.9673,29.0149
Ageb 523,523,Ageb 523,-110.9333,29.0032
Ageb 524,524,Ageb 524,-110.9218,29
Ageb 525,525,Ageb 525,-111.0205,29.1696
Ageb 526,526,Ageb 526,-110.9474,28.9985
Ageb 527,527,Ageb 527,-110.9004,29.0169
Ageb 528,528,Ageb 528,-111.0782,29.0797
Ageb 529,529,Ageb 529,-111.0276,29.0759
Ageb 530,530,Ageb 530,-110.9941,29.1532
Ageb 531,531,Ageb 531,-110.9929,29.0501
Ageb 532,532,Ageb 532,-111.024,29.0758
Ageb 533,533,Ageb 533,-110.9502,28.9965
Ageb 534,534,Ageb 534,-110.9705,29.0098
Ageb 535,535,Ageb 535,-110.9952,29.0898
Ageb 536,536,Ageb 536,-110.9219,28.9976
Ageb 537,537,Ageb 537,-111.0709,29.0777
Ageb 538,538,Ageb 538,-111.0205,29.1728
Ageb 539,539,Ageb 539,-110.9882,29.0494
Ageb 540,540,Ageb 540,-110.9382,29.0018
Ageb 541,541,Ageb 541,-110.9036,29.0241
Ageb 542,542,Ageb 542,-110.9618,28.9971
Ageb 543,543,Ageb 543,-110.9657,28.9975
Ageb 544,544,Ageb 544,-111.0518,29.0626
Ageb 545,545,Ageb 545,-110.9187,29.1302
Ageb 546,546,Ageb 546,-111.0043,29.0481
Ageb 547,547,Ageb 547,-111.0137,29.0893
Ageb 548,548,Ageb 548,-111.0164,29.0838
Ageb 549,549,Ageb 549,-110.9588,29.1347
Ageb 550,550,Ageb 550,-110.956,29.1424
Ageb 551,551,Ageb 551,-110.9284,29.0416
Ageb 552,552,Ageb 552,-110.979,29.0067
Ageb 553,553,Ageb 553,-110.9469,29.1409
Ageb 554,554,Ageb 554,-110.9466,29.139
Ageb 555,555,Ageb 555,-111.0638,29.1179
Ageb 556,556,Ageb 556,-111.0666,29.109
Ageb 557,557,Ageb 557,-110.9784,29.0271
Ageb 558,558,Ageb 558,-110.9811,29.0103
Ageb 559,559,Ageb 559,-110.9076,29.1166
Ageb 560,560,Ageb 560,-110.9193,29.12
Ageb 561,561,Ageb 561,-110.9247,29.1095
Ageb 562,562,Ageb 562,-111.0338,29.0751
Ageb 563,563,Ageb 563,-111.0009,29.0342
Ageb 564,564,Ageb 564,-111.0041,29.0359
Ageb 565,565,Ageb 565,-110.9235,29.1094
Ageb 566,566,Ageb 566,-110.9191,29.0938
Ageb 567,567,Ageb 567,-110.9064,29.1685
Ageb 568,568,Ageb 568,-110.8855,29.1819
Ageb 569,569,Ageb 569,-110.8936,29.1774
Ageb 570,570,Ageb 570,-110.9017,29.1706
Ageb 571,571,Ageb 571,-111.0078,29.07
Ageb 572,572,Ageb 572,-111.0369,29.1446
Ageb 573,573,Ageb 573,-110.9862,29.03
Ageb 574,574,Ageb 574,-110.9844,29.0244
Ageb 575,575,Ageb 575,-110.9739,29.0316
Ageb 576,576,Ageb 576,-110.9787,29.0298
Ageb 577,577,Ageb 577,-110.9705,29.1566
Ageb 578,578,Ageb 578,-110.9246,29.1111
Ageb 579,579,Ageb 579,-111.0592,29.122
Ageb 580,580,Ageb 580,-111.0162,29.0529
Ageb 581,581,Ageb 581,-110.9411,28.9938
Ageb 582,582,Ageb 582,-111.0338,29.1529
